iter_id,iter_start_time,iter_end_time,iter_sam_thrp,iter_est_thrp,iter_base_buff,req_s_num,iter_down_time_budget
0,47.20,71.62,47673.66,0.00,1.00,1,-47.30,0.00
1,71.63,95.55,48652.04,47673.66,2.00,1,-71.70,200.00
2,95.56,119.83,47960.44,48162.85,3.00,1,1998.71,400.00
3,119.83,144.73,46746.99,48095.38,4.00,1,2974.46,600.00
4,144.74,168.52,48948.70,47786.49,5.00,1,3949.57,800.00
5,168.53,192.71,48134.98,47885.38,6.00,1,4925.77,1000.00
6,192.71,363.78,47508.53,47943.55,5.80,36,901.51,1200.00
7,363.78,381.25,66643.77,48197.40,6.80,1,5730.51,1400.00
8,1184.87,1361.86,45919.41,54095.76,5.80,36,909.35,1600.00
9,1361.86,1385.47,49296.97,53357.23,6.80,1,5732.43,1800.00
10,2187.81,2366.48,45486.09,53953.38,5.80,36,906.45,2000.00
11,2366.49,2384.24,65581.16,46900.82,6.80,1,5727.81,2200.00
12,3188.79,3363.80,46438.41,53454.74,5.80,36,905.42,2400.00
13,3363.81,3387.13,49914.24,52501.89,6.80,1,5730.49,2600.00
14,4191.13,4368.35,45859.03,53977.93,5.80,36,903.08,2800.00
15,4368.35,4386.97,62543.66,47403.89,6.80,1,5725.94,3000.00
16,5189.99,5370.21,45095.63,52772.31,5.80,36,904.24,3200.00
17,5370.22,5396.19,44807.14,51166.11,6.80,1,5724.07,3400.00
18,6202.35,6380.04,45734.64,50815.48,5.80,36,891.90,3600.00
19,6380.05,6398.79,62109.81,45212.47,6.80,1,5714.24,3800.00
20,7202.27,7379.78,45781.01,50883.87,5.80,36,891.96,4000.00
21,7379.79,7402.86,50461.70,51208.49,6.80,1,5714.49,4200.00
22,8207.83,8367.18,45333.60,52784.18,5.80,32,886.37,4400.00
23,8367.19,8384.82,66038.81,47192.10,6.80,1,5727.10,4600.00
24,9188.18,9377.06,47807.88,53944.70,5.80,40,906.03,4800.00
25,9377.07,9400.28,50137.84,53060.10,6.80,1,5717.24,5000.00
26,10202.28,10361.64,45332.18,54661.51,5.80,32,891.98,5200.00
27,10361.65,10380.01,63381.43,47759.30,6.80,1,5732.65,5400.00
28,11183.20,11339.11,46334.72,52950.48,5.80,32,911.01,5600.00
29,11339.12,11357.98,61731.01,51682.78,6.80,1,5755.18,5800.00
30,12162.39,12323.89,44730.65,57149.06,5.90,32,931.78,6000.00
31,12323.90,12343.05,60792.81,50932.13,6.80,1,5770.40,6200.00
32,13147.09,13299.90,47275.32,55751.49,5.90,32,947.20,6400.00
33,13299.91,13324.42,47485.01,50932.93,6.90,1,5794.39,6600.00
34,14229.80,14345.83,46695.63,51851.05,5.90,24,864.41,6800.00
35,14345.83,14370.79,46630.88,47151.98,6.80,1,5748.46,7000.00
36,15174.18,15332.14,45731.94,46937.17,5.90,32,920.05,7200.00
37,15332.15,15357.33,46232.67,46352.81,6.80,1,5762.14,7400.00
38,16163.30,16342.97,45231.42,46198.50,5.90,36,930.95,7600.00
39,16342.98,16362.00,61195.52,45732.01,6.80,1,5751.31,7800.00
40,17164.37,17322.06,45809.66,50886.54,5.90,32,929.88,8000.00
41,17322.08,17347.24,46251.04,50745.53,6.90,1,5772.21,8200.00
42,18251.27,18429.51,45597.87,51085.41,5.80,36,842.94,8400.00
43,18429.51,18447.85,63495.53,45886.19,6.80,1,5664.78,8600.00
44,19253.23,19430.52,45840.15,51781.48,5.80,36,840.99,8800.00
45,19430.53,19455.86,45940.72,51644.52,6.80,1,5663.78,9000.00
46,20261.19,20434.53,46885.01,51758.80,5.80,36,833.02,9200.00
47,20434.53,20453.44,61587.30,46221.96,6.80,1,5659.77,9400.00
48,21257.17,21416.01,45480.59,51471.01,5.80,32,837.05,9600.00
49,21416.01,21439.17,50263.41,51317.63,6.80,1,5678.29,9800.00
50,22243.26,22404.71,44743.95,52443.77,5.80,32,851.00,10000.00
51,22404.72,22423.67,61418.32,46829.31,6.80,1,5689.58,10200.00
52,23226.69,23404.81,45627.06,52141.89,5.80,36,867.39,10400.00
53,23404.82,23430.35,45586.28,50596.44,6.80,1,5689.49,10600.00
54,24234.58,24393.44,45473.14,50877.22,5.90,32,859.64,10800.00
55,24393.45,24411.12,65852.00,45562.16,6.80,1,5700.85,11000.00
56,25215.52,25376.14,44977.40,52303.81,5.90,32,878.77,11200.00
57,25376.15,25400.45,47891.38,52100.85,6.90,1,5718.16,11400.00
58,26304.99,26466.01,44863.71,52906.93,5.80,32,789.22,11600.00
59,26466.02,26483.76,65629.23,45910.83,6.80,1,5628.28,11800.00
