reqStreamId, pushStreamId,face_req_time,face_end_time,face_dow_thrp,face_late,face_cancel, iter_id,sid,fid,layerId, face_br,face_size,face_ini_weight
15,0,47.34,71.56,48055.49,1,0,0,0,0,0,1164,1164.00,20.00
17,0,71.74,95.49,49004.34,0,0,1,1,0,0,1164,1164.00,20.00
19,0,95.66,119.74,48336.86,0,0,2,2,0,0,1164,1164.00,20.00
21,0,119.92,144.67,47037.91,0,0,3,3,0,0,1164,1164.00,20.00
23,0,144.80,168.46,49205.28,0,0,4,4,0,0,1164,1164.00,20.00
25,0,168.60,192.59,48530.33,0,0,5,5,0,0,1164,1164.00,20.00
27,0,193.53,202.70,6871.73,0,0,6,1,16,1,63,63.00,20.00
29,0,193.53,202.89,6732.93,0,0,6,1,3,1,63,63.00,20.00
31,0,193.53,203.02,6637.87,0,0,6,1,4,1,63,63.00,20.00
33,0,193.53,203.12,6566.60,0,0,6,1,14,1,63,63.00,20.00
35,0,193.53,203.23,6492.84,0,0,6,1,2,1,63,63.00,20.00
37,0,193.53,203.33,6426.60,0,0,6,1,23,1,63,63.00,20.00
39,0,193.53,203.43,6367.50,0,0,6,1,1,1,63,63.00,20.00
41,0,193.53,209.39,3973.51,0,0,6,1,21,1,63,63.00,20.00
43,0,193.53,209.52,3940.46,0,0,6,1,20,1,63,63.00,20.00
45,0,193.53,209.65,7134.00,0,0,6,1,16,2,115,115.00,20.00
47,0,193.53,216.68,4968.68,0,0,6,1,3,2,115,115.00,20.00
49,0,193.53,216.84,4934.35,0,0,6,1,4,2,115,115.00,20.00
51,0,193.53,216.97,4907.40,0,0,6,1,14,2,115,115.00,20.00
53,0,193.54,223.03,3899.49,0,0,6,1,2,2,115,115.00,20.00
55,0,193.54,223.15,3882.77,0,0,6,1,23,2,115,115.00,20.00
57,0,193.54,229.11,3232.70,0,0,6,1,1,2,115,115.00,20.00
59,0,193.54,229.20,3224.63,0,0,6,1,21,2,115,115.00,20.00
61,0,193.54,229.68,3181.89,0,0,6,1,20,2,115,115.00,20.00
63,0,193.54,235.98,5701.90,0,0,6,1,16,3,242,242.00,20.00
65,0,193.54,241.92,5002.27,0,0,6,1,3,3,242,242.00,20.00
67,0,193.54,247.45,4488.55,0,0,6,1,4,3,242,242.00,20.00
69,0,193.54,253.11,4062.65,0,0,6,1,14,3,242,242.00,20.00
71,0,193.54,253.22,4054.76,0,0,6,1,2,3,242,242.00,20.00
73,0,193.54,258.98,3698.04,0,0,6,1,23,3,242,242.00,20.00
75,0,193.54,264.73,3399.35,0,0,6,1,1,3,242,242.00,20.00
77,0,193.54,270.47,3145.92,0,0,6,1,21,3,242,242.00,20.00
79,0,193.54,276.36,2922.11,0,0,6,1,20,3,242,242.00,20.00
81,0,193.54,282.05,5457.38,0,0,6,1,16,4,483,483.00,20.00
83,0,193.54,293.47,4833.67,0,0,6,1,3,4,483,483.00,20.00
85,0,193.54,304.88,4338.02,0,0,6,1,4,4,483,483.00,20.00
87,0,193.54,310.60,4126.27,0,0,6,1,14,4,483,483.00,20.00
89,0,193.54,322.34,3750.15,0,0,6,1,2,4,483,483.00,20.00
91,0,193.54,333.92,3440.73,0,0,6,1,23,4,483,483.00,20.00
93,0,193.54,339.61,3306.79,0,0,6,1,1,4,483,483.00,20.00
95,0,193.54,351.30,3061.77,0,0,6,1,21,4,483,483.00,20.00
97,0,193.54,363.72,2838.24,0,0,6,1,20,4,483,483.00,20.00
