iter_id,iter_start_time,iter_end_time,iter_sam_thrp,iter_est_thrp,iter_base_buff,req_s_num,iter_down_time_budget
0,142.45,427.82,10512.41,0.00,1.00,1,-142.45
1,427.84,1030.80,4975.48,10512.41,1.50,1,-427.84
2,1030.81,1643.74,4894.51,7743.94,1.90,1,1448.12
3,1643.75,2237.23,5054.98,6794.13,2.30,1,1835.17
4,2237.24,2840.36,4974.18,4974.99,2.70,1,2241.69
5,2840.37,3443.53,4973.80,4974.55,3.10,1,2638.56
6,3443.54,4056.44,4894.73,5000.98,3.50,1,3035.39
7,4056.45,4650.20,5052.66,4947.57,3.90,1,3422.47
8,4650.21,5253.34,4974.05,4973.73,4.30,1,3828.72
9,5253.35,5856.38,4974.87,4973.81,4.70,1,4225.58
10,5856.39,6469.37,4894.13,5000.53,5.10,1,4622.54
11,6469.38,7062.88,5054.75,4947.68,5.50,1,5009.54
12,7062.89,7665.96,4974.59,4974.58,5.90,1,5416.03
13,7665.97,8268.93,4975.45,4974.49,6.30,1,5812.96
14,8268.94,8881.98,4893.70,5001.60,6.70,1,6209.98
15,8881.99,9475.36,5055.90,4947.91,7.10,1,6596.93
16,9475.37,10078.52,4973.84,4975.02,7.50,1,7003.56
17,10078.54,10681.55,4975.04,4974.48,7.90,1,7400.39
18,10681.56,11294.51,4894.34,5001.59,8.20,1,7797.36
19,11294.53,11888.02,5054.88,4947.74,8.60,1,8184.39
20,11888.03,12491.10,4974.54,4974.75,9.00,1,8590.89
21,12491.12,12817.43,4903.30,4974.59,8.70,8,987.80
22,12817.44,13417.13,5002.60,4977.57,9.10,1,8661.48
23,13517.24,13740.46,7167.85,4960.15,8.80,8,961.67
24,13740.47,14353.24,4895.83,5691.25,9.20,1,8738.45
25,14553.43,14666.73,14122.42,5688.76,8.90,8,925.48
26,14666.74,15270.00,4972.99,8728.70,9.30,1,8812.19
27,15570.30,15914.83,9287.99,7997.08,8.60,8,908.62
28,15914.84,16517.79,4975.55,9461.13,9.00,1,8564.09
29,16517.80,17162.31,4965.00,6412.17,8.40,8,961.12
30,17162.32,17765.38,4974.60,6409.51,8.80,1,8316.61
31,17765.39,18368.42,4974.93,4971.72,9.20,1,8713.53
32,18368.43,18691.39,4954.16,4971.51,8.90,8,110.49
33,18691.40,19294.27,4976.22,4967.90,9.20,1,8787.52
34,19294.28,19637.57,4660.81,4968.44,8.90,8,184.64
35,19637.59,20230.53,5059.51,4863.73,9.30,1,8841.34
36,20230.54,20543.94,5105.26,4898.85,9.00,8,248.38
37,20543.95,20867.26,4948.86,4941.86,8.70,8,934.97
38,20867.27,21480.11,4895.23,5037.88,9.10,1,8611.65
39,21580.23,21793.40,7505.71,4983.12,8.80,8,898.69
40,21793.41,22396.49,4974.52,5783.27,9.10,1,8685.51
41,22496.60,22722.91,7069.82,5791.82,8.80,8,982.32
42,22722.92,23322.59,5002.74,6516.69,9.20,1,8756.00
43,23522.78,23686.27,11010.05,5682.36,8.90,9,956.14
44,23686.28,24289.23,4975.53,7694.21,9.30,1,8792.65
45,24589.56,24933.89,9293.33,6996.11,8.60,8,889.35
46,24933.90,25536.99,4974.45,8426.30,9.00,1,8545.02
47,25537.00,26181.75,4963.16,6414.44,8.40,8,941.92
48,26181.76,26784.86,4974.32,6410.31,8.80,1,8297.17
49,26784.87,27387.80,4975.72,4970.64,9.20,1,8694.05
50,27387.81,27765.21,4769.58,4971.07,8.80,9,91.10
51,27765.22,28364.20,5008.54,4906.54,9.20,1,8713.70
52,28364.21,28677.78,5102.61,4917.94,8.90,8,114.71
53,28677.78,29280.79,4975.07,4960.24,9.30,1,8801.14
54,29280.80,29607.10,4903.55,5028.74,8.90,8,198.12
55,29607.11,30206.96,5001.28,4993.74,9.30,1,8871.81
56,30206.97,30529.98,4953.42,4959.97,9.00,8,271.95
57,30529.99,30852.95,4954.16,4952.75,8.70,8,948.93
58,31553.65,31682.34,13986.56,4969.62,7.90,9,925.27
59,32583.25,32813.89,13874.50,7964.71,6.70,8,895.67
60,33514.61,33744.86,13898.30,10938.40,5.80,8,964.30
61,34545.70,34775.97,13896.43,13919.78,4.80,8,933.22
62,35576.75,35807.60,13862.06,13889.74,3.70,8,902.16
63,36508.30,36719.61,17036.50,13885.59,2.80,9,970.61
64,37520.44,37751.06,13875.70,14931.66,1.80,8,958.48
65,38551.85,38782.31,13885.09,14924.75,0.80,8,927.07
