time, playing_seg_id, seg_avg_qual
478.89,0,0.00
1479.67,1,0.00
2480.58,2,0.00
3481.31,3,0.00
4481.99,4,0.00
5482.69,5,0.00
6483.36,6,0.00
7484.15,7,0.00
8484.89,8,0.00
9485.69,9,0.00
10486.47,10,0.00
11487.23,11,0.00
12488.03,12,0.00
13488.81,13,0.88
14489.47,14,0.50
15490.23,15,0.88
16490.97,16,1.75
17491.67,17,2.00
18492.42,18,0.25
19493.13,19,0.38
20493.87,20,0.62
21494.58,21,0.88
22495.33,22,0.88
23496.05,23,0.78
24496.79,24,0.88
25497.55,25,1.75
26498.27,26,1.50
27499.10,27,0.11
28499.90,28,0.22
29500.76,29,0.40
30501.52,30,0.75
31502.28,31,0.56
32503.07,32,0.50
33503.83,33,1.50
34504.62,34,1.00
35505.42,35,1.00
36506.21,36,1.11
37507.04,37,1.00
38507.88,38,1.25
