face_req_time,face_end_time,face_dow_thrp,iter_id,sid,fid,face_br,face_size,face_ini_weight,face_late
142.53,427.63,11335.38,1,0,0,0,3000,3000.00,20.00
427.96,1030.60,5647.68,0,1,1,0,3000,3000.00,20.00
1030.97,1643.56,5439.96,0,2,2,0,3000,3000.00,20.00
1643.88,2237.06,5723.72,0,3,3,0,3000,3000.00,20.00
2237.36,2840.16,5758.36,0,4,4,0,3000,3000.00,20.00
2840.51,3443.39,5644.91,0,5,5,0,3000,3000.00,20.00
3443.64,4056.32,5440.20,0,6,6,0,3000,3000.00,20.00
4056.55,4650.03,5721.78,0,7,7,0,3000,3000.00,20.00
4650.30,5253.21,5759.62,0,8,8,0,3000,3000.00,20.00
5253.45,5856.23,5647.07,0,9,9,0,3000,3000.00,20.00
5856.51,6469.19,5440.18,0,10,10,0,3000,3000.00,20.00
6469.51,7062.74,5722.86,0,11,11,0,3000,3000.00,20.00
7062.97,7665.80,5758.74,0,12,12,0,3000,3000.00,20.00
7666.09,8268.77,5648.56,0,13,13,0,3000,3000.00,20.00
8269.09,8881.75,5440.49,0,14,14,0,3000,3000.00,20.00
8882.14,9475.23,5723.37,0,15,15,0,3000,3000.00,20.00
9475.46,10078.33,5758.94,0,16,16,0,3000,3000.00,20.00
10078.67,10681.36,5647.03,0,17,17,0,3000,3000.00,20.00
10681.71,11294.32,5440.39,0,18,18,0,3000,3000.00,20.00
11294.72,11887.78,5723.29,0,19,19,0,3000,3000.00,20.00
11888.18,12490.89,5759.20,0,20,20,0,3000,3000.00,20.00
12491.43,12564.71,1123595.51,0,21,13,3,200,200.00,20.00
12491.57,12623.22,3424.83,0,21,13,4,200,200.00,20.00
12491.72,12623.53,892857.14,0,21,13,13,200,200.00,20.00
12491.86,12677.91,3684.19,0,21,13,14,200,200.00,20.00
12492.00,12741.97,3126.37,0,21,13,15,200,200.00,20.00
12492.14,12742.29,873362.45,0,21,13,16,200,200.00,20.00
12492.28,12796.56,3691.19,0,21,13,23,200,200.00,20.00
12492.42,12817.27,9698.38,0,21,13,24,200,200.00,20.00
12817.58,13416.97,5980.59,0,22,21,0,3000,3000.00,20.00
13517.58,13541.59,947867.30,0,23,14,3,200,200.00,20.00
13517.73,13542.02,641025.64,0,23,14,4,200,200.00,20.00
13517.86,13562.78,9678.67,0,23,14,13,200,200.00,20.00
13517.99,13627.83,3079.10,0,23,14,14,200,200.00,20.00
13518.11,13628.15,1010101.01,0,23,14,15,200,200.00,20.00
13518.24,13681.36,3764.49,0,23,14,16,200,200.00,20.00
13518.37,13740.09,3410.06,0,23,14,23,200,200.00,20.00
13518.49,13740.36,1086956.52,0,23,14,24,200,200.00,20.00
13740.59,14353.08,5425.73,0,24,22,0,3000,3000.00,20.00
14553.66,14576.12,1257861.64,0,25,15,1,200,200.00,20.00
14553.73,14576.41,975609.76,0,25,15,2,200,200.00,20.00
14553.81,14597.09,9708.74,0,25,15,3,200,200.00,20.00
14553.88,14597.38,961538.46,0,25,15,4,200,200.00,20.00
14553.96,14617.93,9769.44,0,25,15,10,200,200.00,20.00
14554.03,14638.54,9747.06,0,25,15,16,200,200.00,20.00
14554.10,14638.84,970873.79,0,25,15,21,200,200.00,20.00
14554.17,14666.58,7231.97,0,25,15,23,200,200.00,20.00
14666.86,15269.88,5800.90,0,26,23,0,3000,3000.00,20.00
15570.55,15613.26,19536.02,0,27,16,1,400,400.00,20.00
15570.64,15633.93,19432.57,0,27,16,2,400,400.00,20.00
15570.74,15654.63,19394.88,0,27,16,3,400,400.00,20.00
15570.82,15695.56,9791.68,0,27,16,4,400,400.00,20.00
15570.90,15716.20,19464.72,0,27,16,10,400,400.00,20.00
15570.98,15758.19,9543.12,0,27,16,12,400,400.00,20.00
15571.06,15876.74,3377.12,0,27,16,21,400,400.00,20.00
15571.13,15914.68,10563.01,0,27,16,23,400,400.00,20.00
15914.95,16517.64,5744.68,0,28,24,0,3000,3000.00,20.00
16517.97,16649.79,6658.79,0,29,17,1,400,400.00,20.00
16518.04,16704.45,7330.30,0,29,17,2,400,400.00,20.00
16518.12,16768.52,6255.77,0,29,17,3,400,400.00,20.00
16518.20,16887.00,3378.15,0,29,17,4,400,400.00,20.00
16518.27,16941.65,7329.63,0,29,17,10,400,400.00,20.00
16518.35,17005.70,6253.81,0,29,17,16,400,400.00,20.00
16518.42,17124.19,3377.92,0,29,17,21,400,400.00,20.00
16518.49,17162.15,10561.06,0,29,17,23,400,400.00,20.00
17162.42,17765.24,5744.27,0,30,25,0,3000,3000.00,20.00
17765.49,18368.20,5633.96,0,31,26,0,3000,3000.00,20.00
